Crop,Pests,Humidity Required,Temperature Required,Pesticides,Planting Time,Growth Stages,
Wheat,"Hessian fly, leaf rust, stem rust, wheat curl mite",40-70%,50-70°F,"Chlorothalonil, mancozeb, thiophanate-methyl",Spring or winter,"Germinates in 5-7 days, grows vegetatively for 4-6 weeks, heads in 6-8 weeks, flowers in 1-2 weeks, grains fill in 4-6 weeks",
Rice,"Brown planthopper, green leafhopper, rice blast, stem borer",70-80%,70-90°F,"Imidacloprid, methomyl, trichlorfon",Late spring,"Germinates in 3-5 days, grows vegetatively for 4-6 weeks, heads in 6-8 weeks, flowers in 1-2 weeks, grains fill in 4-6 weeks",
Corn (Maize),"European corn borer, corn leaf aphid, corn rootworm",50-70%,60-80°F,"Bifenthrin, carbofuran, thiamethoxam",Late spring,"Germinates in 3-5 days, grows vegetatively for 6-8 weeks, tassels in 6-8 weeks, silks in 1-2 weeks, grains fill in 6-8 weeks",
Potato,"Colorado potato beetle, potato aphid, potato leafhopper",40-70%,45-75°F,"Malathion, carbaryl, pyrethrins",Late spring,"Germinates in 7-10 days, grows vegetatively for 4-6 weeks, flowers in 1-2 weeks, tubers form in 4-6 weeks",
Tomato,"Tomato hornworm, tomato leaf miner, whitefly",40-70%,65-85°F,"Spinosad, imidacloprid, chlorpyrifos",Spring or fall,"Germinates in 5-10 days, grows vegetatively for 4-6 weeks, flowers in 2-3 weeks, fruits form in 6-8 weeks",
Soybean,"Japanese beetle, soybean aphid, soybean podworm",40-70%,60-80°F,"Chlorpyrifos, imidacloprid, thiamethoxam",Spring,"Germinates in 3-5 days, grows vegetatively for 4-6 weeks, flowers in 1-2 weeks, pods develop in 4-6 weeks",
Barley,"Hessian fly, leaf rust, stem rust, barley yellow dwarf virus",40-70%,45-75°F,"Chlorothalonil, mancozeb, thiophanate-methyl",Spring or fall,"Germinates in 3-5 days, grows vegetatively for 4-6 weeks, heads in 6-8 weeks, flowers in 1-2 weeks, grains fill in 4-6 weeks",
Oats,"Hessian fly, oat crown rust, crown rust, oat leaf spot",40-70%,45-75°F,"Chlorothalonil, mancozeb, thiophanate-methyl",Spring or fall,"Germinates in 3-5 days, grows vegetatively for 4-6 weeks, heads in 6-8 weeks, flowers in 1-2 weeks, grains fill in 4-6 weeks",
Cotton,"Bollworm, cotton boll weevil, cotton aphid",40-70%,70-90°F,"Imidacloprid, thiamethoxam, chlorpyrifos",Spring,"Germinates in 5-7 days, grows vegetatively for 4-6 weeks, flowers in 1-2 weeks, bolls develop in 4-6 weeks",
Sorghum,"Chinch bug, head smut, leafhopper",40-70%,65-85°F,"Bifenthrin, carbofuran, thiamethoxam",Summer,"Germinates in 3-5 days, grows vegetatively for 4-6 weeks, flowers in 1-2 weeks, grains fill in 4-6 weeks",
Sugarcane,"Sugarcane aphid, sugarcane leafhopper, sugarcane moth",70-80%,75-85°F,"Acephate, imidacloprid, malathion",Late spring,"Germinates in 7-10 days, grows vegetatively for 6-8 weeks, flowers in 1-2 weeks, canes grow in 6-8 weeks",
Sunflower,"Aphids, leaf miners, sunflower moth, sunflower thrips",50-70%,65-85°F,"Bifenthrin, carbaryl, pyrethrins",Spring or fall,"Germinates in 5-7 days, grows vegetatively for 4-6 weeks, flowers in 1-2 weeks, seeds develop in 4-6 weeks",
Canola (Rapeseed),"Aphids, flea beetles, canola moths, cabbage loopers",40-60%,45-75°F,"Bifenthrin, carbaryl, pyrethrins",Spring,"Germinates in 3-5 days, grows vegetatively for 4-6 weeks, flowers in 1-2 weeks, seeds develop in 4-6 weeks",
Peanuts,"Aphids, leaf miners, nematodes, stink bugs",50-70%,65-85°F,"Acephate, imidacloprid, malathion",Summer,"Germinates in 7-10 days, grows vegetatively for 4-6 weeks, flowers in 1-2 weeks, pods develop in 4-6 weeks",
Rye,"Aphids, barley leaf rust, crown rust, rye stem sawfly",40-60%,45-75°F,"Chlorothalonil, mancozeb, thiram",Fall to early winter,"Germinates in 3-5 days, grows vegetatively for 4-6 weeks, heads in 6-8 weeks, flowers in 1-2 weeks, grains fill in 4-6 weeks",
Lentils,"Aphids, bean leaf beetles, leafhoppers, lentils pod borer",40-60%,55-75°F,"Acephate, imidacloprid, malathion",Spring,"Germinates in 3-5 days, grows vegetatively for 4-6 weeks, flowers in 1-2 weeks, pods develop in 4-6 weeks",
Chickpeas,"Aphids, bean leaf beetles, bruchids, chickpea pod borer",40-60%,55-75°F,"Acephate, imidacloprid, malathion",Spring,"Germinates in 3-5 days, grows vegetatively for 4-6 weeks, flowers in 1-2 weeks, pods develop in 4-6 weeks",
Flaxseed,"Aphids, flax rust, flax sawfly, thrips",40-60%,50-70°F,"Bifenthrin, carbaryl, pyrethrins",Spring or fall,"Germinates in 3-7 days, grows leaves and stems for 4-6 weeks, flowers for 2-3 weeks, produces seeds for 4-6 weeks",
Sesame,"Aphids, leafminers, sesame aphid, sesame leafhopper",50-70%,75-85°F,"Acephate, imidacloprid, malathion",Spring or fall,"Germinates in 5-10 days, grows leaves and stems for 4-6 weeks, flowers for 2-3 weeks, produces seeds for 6-8 weeks",
Millet,"Aphids, armyworms, chinch bugs, millet aphid",40-60%,70-85°F,"Acephate, imidacloprid, malathion",Spring or fall,"Germinates in 3-7 days, grows leaves and stems for 4-6 weeks, flowers for 2-3 weeks, produces grain for 4-6 weeks",
Quinoa,"Aphids, leaf spot, quinoa aphid",50-70%,60-75°F,"Acephate, imidacloprid, malathion",Spring or fall,"Germinates in 3-7 days, grows leaves and stems for 4-6 weeks, flowers for 2-3 weeks, produces seeds for 6-8 weeks",
Amaranth,"Aphids, leaf spot, amaranth root rot",40-60%,60-75°F,"Acephate, imidacloprid, malathion",Spring or fall,"Germinates in 3-7 days, grows leaves and stems for 4-6 weeks, flowers for 2-3 weeks, produces seeds for 4-6 weeks",
Buckwheat,"Aphids, cucumber beetles, buckwheat aphid, buckwheat leafhopper",40-60%,60-70°F,"Bifenthrin, carbaryl, pyrethrins",Spring or fall,"Germinates in 3-7 days, grows leaves and stems for 4-6 weeks, flowers for 2-3 weeks, produces seeds for 4-6 weeks",
Mustard,"Aphids, blackleg, downy mildew, mustard sawfly",40-60%,50-70°F,"Chlorothalonil, mancozeb, thiram",Spring or fall,"Germinates in 3-7 days, grows leaves and stems for 4-6 weeks, flowers for 2-3 weeks, produces seeds for 4-6 weeks",
Triticale,"Aphids, leaf rust, scab, wheat stem sawfly",40-60%,45-75°F,"Chlorothalonil, mancozeb, thiram",Spring,"Germinates in 3-7 days, grows leaves and stems for 4-6 weeks, flowers for 2-3 weeks, produces grain for 6-8 weeks",
Teff,"Chinch bugs, leaf spot, teff aphid",40-60%,60-75°F,"Acephate, imidacloprid, malathion",Spring or fall,"Germinates in 3-7 days, grows leaves and stems for 4-6 weeks, flowers for 2-3 weeks, produces seeds for 4-6 weeks",
Chia,"Aphids, leaf spot, rust, whiteflies",50-70%,60-75°F,"Acephate, imidacloprid, malathion",Spring or fall,"Germinates in 3-7 days, grows leaves and stems for 4-6 weeks, flowers for 2-3 weeks, produces seeds for 4-6 weeks",
Pumpkin,"Aphids, cucumber beetles, squash bugs, vine borers",50-70%,55-75°F,"Bifenthrin, carbaryl, pyrethrins",Spring,"Germinates in 7-10 days, grows leaves and stems for 4-6 weeks, flowers for 2-3 weeks, produces fruit for 6-8 weeks",
Carrot,"Carrot fly, carrot rust fly, carrot aphid, carrot weevil",60-70%,45-75°F,"Malathion, Spinosad, Imidacloprid",Spring or fall,"Germinates in 7-10 days, grows leaves and stems for 4-6 weeks, flowers for 2-3 weeks, produces roots for 6-8 weeks",
Onion,"Onion thrips, leek moth, onion maggot, onion leafminer",55-70%,40-70°F,"Spinosad, Bifenthrin, Malathion",Spring or fall,"Germinates in 7-10 days, grows leaves and stems for 4-6 weeks, flowers for 2-3 weeks, produces bulbs for 6-8 weeks",
Lettuce,"Aphids, slugs, cutworms, leafminers",60-70%,40-70°F,"Spinosad, Bifenthrin, Malathion",Spring or fall,"Germinates in 3-7 days, grows leaves for 4-6 weeks, flowers for 2-3 weeks, produces leaves for 6-8 weeks",
Spinach,"Aphids, spider mites, slugs, cutworms",50-70%,45-75°F,"Spinosad, Bifenthrin, Malathion",Spring or fall,"Germinates in 3-7 days, grows leaves for 4-6 weeks, flowers for 2-3 weeks, produces leaves for 6-8 weeks",
Cucumber,"Cucumber beetles, cucumber aphids, whiteflies, squash bugs",60-70%,60-85°F,"Malathion, Spinosad, Imidacloprid",Spring,"Germinates in 3-7 days, grows leaves and stems for 4-6 weeks, flowers for 2-3 weeks, produces fruit for 6-8 weeks",
Bell Pepper,"Aphids, spider mites, whiteflies, hornworms, leafminers",50-70%,60-85°F,"Spinosad, Bifenthrin, Malathion",Spring,"Germinates in 7-10 days, grows leaves and stems for 4-6 weeks, flowers for 2-3 weeks, produces fruit for 6-8 weeks",
Broccoli,"Cabbage aphids, cabbage loopers, diamondback moths, cabbage worms, clubroot",60-70%,45-75°F,"Spinosad, Bifenthrin, Malathion",Spring,"Germinates in 3-7 days, grows leaves and stems for 4-6 weeks, flowers for 2-3 weeks, produces heads for 6-8 weeks",
Cauliflower,"Cabbage aphids, cabbage loopers, diamondback moths, cabbage worms, clubroot",60-70%,45-75°F,"Spinosad, Bifenthrin, Malathion",Early spring or late fall,"Sow indoors 6-8 weeks before last frost, transplant outdoors 2-3 weeks after last frost. Harvest when firm and white.",
Cabbage,"Cabbage aphids, cabbage loopers, diamondback moths, cabbage worms, clubroot",60-70%,45-75°F,"Spinosad, Bifenthrin, Malathion",Early spring or late fall,"Sow indoors 4-6 weeks before last frost, transplant outdoors 2-3 weeks after last frost. Harvest when firm and compact.",
Peas,"Pea aphids, pea leaf weevils, pea moth",50-70%,40-70°F,"Spinosad, Bifenthrin, Malathion",Early spring or late fall,Sow directly in garden 2-4 weeks before last frost. Harvest when pods are young and tender.,
Green Beans,"Bean aphids, bean beetles, bean leaf beetles, whiteflies",50-70%,60-85°F,"Spinosad, Bifenthrin, Malathion",Early spring or late summer,Sow directly in garden 2-4 weeks after last frost. Harvest when pods are young and tender.,
Eggplant,"Aphids, whiteflies, eggplant flea beetles, Colorado potato beetles",60-70%,60-85°F,"Spinosad, Bifenthrin, Malathion",Late spring or early summer,"Sow indoors 6-8 weeks before last frost, transplant outdoors 2-3 weeks after last frost. Harvest when firm and glossy.",
