Crop,Humidity Required (%),Temperature Required (°F),,,,,
Wheat,55,60,,,,,
Rice,75,80,,,,,
Corn (Maize),60,70,,,,,
Potato,55,60,,,,,
Tomato,55,75,,,,,
Soybean,55,70,,,,,
Barley,55,60,,,,,
Oats,55,60,,,,,
Cotton,55,80,,,,,
Sorghum,55,75,,,,,
Sugarcane,75,80,,,,,
Sunflower,60,70,,,,,
Canola (Rapeseed),50,60,,,,,
Peanuts,60,75,,,,,
Rye,50,60,,,,,
Lentils,50,65,,,,,
Chickpeas,50,65,,,,,
Flaxseed,50,60,,,,,
Sesame,60,80,,,,,
Millet,50,75,,,,,
Quinoa,60,65,,,,,
Amaranth,60,65,,,,,
Buckwheat,50,65,,,,,
Mustard,50,60,,,,,
Triticale,50,60,,,,,
Teff,50,65,,,,,
Chia,60,65,,,,,
Pumpkin,60,60,,,,,
Carrot,60,60,,,,,
Onion,60,55,,,,,
Lettuce,60,55,,,,,
Spinach,60,55,,,,,
Cucumber,60,70,,,,,
Bell Pepper,60,70,,,,,
Broccoli,60,60,,,,,
Cauliflower,60,60,,,,,
Cabbage,60,60,,,,,
Peas,60,55,,,,,
Green Beans,60,70,,,,,
Eggplant,60,70,,,,,
Zucchini,60,70,,,,,
Brussels Sprouts,60,60,,,,,
Kale,60,60,,,,,
Celery,60,60,,,,,
Radish,60,60,,,,,
Beetroot,60,60,,,,,
Sweet Potato,60,60,,,,,
Watermelon,60,70,,,,,
Cantaloupe (Muskmelon),60,70,,,,,
Honeydew,60,70,,,,,
Strawberry,60,70,,,,,
Blueberry,60,65,,,,,
Raspberry,60,65,,,,,
Blackberry,60,65,,,,,
Grape,60,70,,,,,
Apple,60,70,,,,,
Orange,60,70,,,,,
Banana,60,80,,,,,
Pineapple,60,80,,,,,
Lemon,60,70,,,,,
Lime,60,75,,,,,
Mango,60,75,,,,,
Peach,60,75,,,,,
Plum,60,75,,,,,
Pear,60,75,,,,,
Cherry,60,75,,,,,
Kiwi,60,75,,,,,
Pomegranate,60,75,,,,,
Apricot,60,75,,,,,
Grapefruit,60,65,,,,,
Cranberry,60,60,,,,,
Watercress,60,65,,,,,
Arugula,60,65,,,,,
Swiss Chard,60,65,,,,,
Artichoke,60,65,,,,,
Asparagus,60,65,,,,,
Avocado,60,70,,,,,
Bok Choy,60,65,,,,,
Broccoli Rabe,60,65,,,,,
Collard Greens,60,60,,,,,
Daikon Radish,60,55,,,,,
Endive,60,55,,,,,
Fennel,60,70,,,,,
Garlic,60,65,,,,,
Ginger,60,75,,,,,
Horseradish,60,75,,,,,
Jicama,60,75,,,,,
Kohlrabi,60,55,,,,,
Leek,60,55,,,,,
Napa Cabbage,60,60,,,,,
Okra,60,75,,,,,
Parsley,60,60,,,,,
Turnip,60,55,,,,,
Rutabaga,60,55,,,,,
Salsify,60,65,,,,,
Shallot,60,60,,,,,
Spinach,60,60,,,,,
Taro,60,80,,,,,
Turmeric,60,75,,,,,
Water Chestnut,60,80,,,,,
